"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Streptomyces huasconensis",6,1827,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","huasconensis"
"Streptomyces hundungensis",6,2641,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","hundungensis"
"Streptomyces hygroscopicus",6,8236,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","hygroscopicus"
"Streptomyces incarnatus",6,2451,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","incarnatus"
"Streptomyces inhibens",6,3398,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","inhibens"
"Streptomyces kanamyceticus",6,2308,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","kanamyceticus"
"Streptomyces katrae",6,2873,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","katrae"
"Streptomyces koyangensis",6,1934,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","koyangensis"
"Streptomyces lavendulae",6,3039,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","lavendulae"
"Streptomyces leeuwenhoekii",6,1650,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","leeuwenhoekii"
"Streptomyces liangshanensis",6,3704,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","liangshanensis"
"Streptomyces lincolnensis",6,4456,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","lincolnensis"
"Streptomyces lividans",3,59647,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","lividans"
"Streptomyces lunaelactis",6,7310,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","lunaelactis"
"Streptomyces luteoverticillatus",6,2966,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","luteoverticillatus"
"Streptomyces lydicus",6,8348,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","lydicus"
"Streptomyces malaysiensis",6,1492,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","malaysiensis"
"Streptomyces microflavus",6,3034,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","microflavus"
"Streptomyces mirabilis",6,5225,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","mirabilis"
"Streptomyces mobaraensis",6,4461,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","mobaraensis"
"Streptomyces murinus",6,1096,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","murinus"
"Streptomyces nigra",6,2942,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","nigra"
"Streptomyces nitrosporeus",6,2189,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","nitrosporeus"
"Streptomyces niveus",6,5272,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","niveus"
"Streptomyces nodosus",6,2864,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","nodosus"
"Streptomyces nojiriensis",6,5146,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","nojiriensis"
"Streptomyces noursei",5,1465,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","noursei"
"Streptomyces olivaceus",6,2564,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","olivaceus"
"Streptomyces olivoreticuli",6,3052,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","olivoreticuli"
"Streptomyces pactum",6,2152,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","pactum"
"Streptomyces paludis",6,2933,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","paludis"
"Streptomyces parvulus",6,2387,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","parvulus"
"Streptomyces peucetius",6,2881,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","peucetius"
"Streptomyces phaeolivaceus",6,4694,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","phaeolivaceus"
"Streptomyces platensis",6,1432,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","platensis"
"Streptomyces pluripotens",6,2124,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","pluripotens"
"Streptomyces prasinus",6,2709,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","prasinus"
"Streptomyces pratensis",6,2650,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","pratensis"
"Streptomyces pristinaespiralis",6,2427,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","pristinaespiralis"
"Streptomyces qaidamensis",6,2331,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","qaidamensis"
"Streptomyces qinzhouensis",6,1864,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","qinzhouensis"
"Streptomyces rapamycinicus",6,2669,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","rapamycinicus"
"Streptomyces rectiverticillatus",6,3071,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","rectiverticillatus"
"Streptomyces rimosus",6,4156,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","rimosus"
"Streptomyces rochei",2,452,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","rochei"
"Streptomyces roseirectus",6,3316,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","roseirectus"
"Streptomyces roseochromogenus",6,2644,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","roseochromogenus"
"Streptomyces rubrolavendulae",5,1077,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","rubrolavendulae"
"Streptomyces rutgersensis",6,1987,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","rutgersensis"
"Streptomyces sampsonii",2,368,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sampsonii"
"Streptomyces scabiei",4,2353,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","scabiei"
"Streptomyces seoulensis",6,5376,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","seoulensis"
"Streptomyces sp. 11-1-2",6,2205,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 11-1-2"
"Streptomyces sp. 135",6,2483,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 135"
"Streptomyces sp. 2114.2",4,1004,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 2114.2"
"Streptomyces sp. 2323.1",6,2082,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 2323.1"
"Streptomyces sp. 3211",6,2718,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 3211"
"Streptomyces sp. 3214.6",6,7862,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 3214.6"
"Streptomyces sp. 604F",2,374,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 604F"
"Streptomyces sp. 769",6,1710,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. 769"
"Streptomyces sp. A1-5",4,857,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. A1-5"
"Streptomyces sp. A144",5,1043,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. A144"
"Streptomyces sp. A2-16",6,9088,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. A2-16"
"Streptomyces sp. ADI95-16",6,2864,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. ADI95-16"
"Streptomyces sp. AgN23",6,2268,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. AgN23"
"Streptomyces sp. AMCC400023",6,4102,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. AMCC400023"
"Streptomyces sp. BH-MK-02",6,15263,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. BH-MK-02"
"Streptomyces sp. BHT-5-2",6,2548,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. BHT-5-2"
"Streptomyces sp. BSE6.1",4,716,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. BSE6.1"
"Streptomyces sp. C8S0",6,3067,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. C8S0"
"Streptomyces sp. CA-256286",1,180,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CA-256286"
"Streptomyces sp. CB00271",6,1288,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CB00271"
"Streptomyces sp. CB01881",6,7916,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CB01881"
"Streptomyces sp. CB04723",6,1095,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CB04723"
"Streptomyces sp. CB09001",6,1988,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CB09001"
"Streptomyces sp. CC0208",3,7426,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CC0208"
"Streptomyces sp. CCM_MD2014",6,1613,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CCM_MD2014"
"Streptomyces sp. CdTB01",6,5835,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CdTB01"
"Streptomyces sp. CFMR 7",6,1481,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CFMR 7"
"Streptomyces sp. CLI2509",6,1512,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CLI2509"
"Streptomyces sp. CMB-StM0423",6,2525,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CMB-StM0423"
"Streptomyces sp. CNQ-509",6,2095,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CNQ-509"
"Streptomyces sp. CRSS-Y-16",5,1929,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. CRSS-Y-16"
"Streptomyces sp. DSM 40868",6,3091,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. DSM 40868"
"Streptomyces sp. EAS-AB2608",6,1722,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. EAS-AB2608"
"Streptomyces sp. endophyte_N2",5,1020,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. endophyte_N2"
"Streptomyces sp. F8",2,75,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. F8"
"Streptomyces sp. fd1-xmd",6,3188,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. fd1-xmd"
"Streptomyces sp. FR-008",2,425,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. FR-008"
"Streptomyces sp. FR1",1,26,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. FR1"
"Streptomyces sp. GBA 94-10",1,271,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. GBA 94-10"
"Streptomyces sp. GF20",3,745,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. GF20"
"Streptomyces sp. GMY02",6,3613,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. GMY02"
"Streptomyces sp. Go-475",6,2956,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Go-475"
"Streptomyces sp. Go 40/10",6,2893,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Go 40/10"
"Streptomyces sp. GQFP",6,6867,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. GQFP"
"Streptomyces sp. GS7",6,3043,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. GS7"
"Streptomyces sp. HF10",6,1657,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. HF10"
"Streptomyces sp. HM190",6,3534,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. HM190"
"Streptomyces sp. HSG2",6,2423,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. HSG2"
"Streptomyces sp. ID38640",6,1452,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. ID38640"
"Streptomyces sp. INR7",6,3172,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. INR7"
"Streptomyces sp. JB150",6,2534,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. JB150"
"Streptomyces sp. jing01",6,2066,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. jing01"
"Streptomyces sp. KPB2",3,647,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. KPB2"
"Streptomyces sp. LBUM 1475",2,3543,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. LBUM 1475"
"Streptomyces sp. LBUM 1480",4,3000,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. LBUM 1480"
"Streptomyces sp. LBUM 1482",4,8414,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. LBUM 1482"
"Streptomyces sp. M2",6,2098,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. M2"
"Streptomyces sp. M54",6,867,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. M54"
"Streptomyces sp. M56",6,1789,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. M56"
"Streptomyces sp. MA3_2.13",6,3755,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. MA3_2.13"
"Streptomyces sp. MBT27",6,3699,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. MBT27"
"Streptomyces sp. Mg1",6,3491,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Mg1"
"Streptomyces sp. MG28",6,4613,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. MG28"
"Streptomyces sp. MG62",6,2791,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. MG62"
"Streptomyces sp. MOE7",6,1493,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. MOE7"
"Streptomyces sp. NA02536",6,1548,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NA02536"
"Streptomyces sp. NA02950",6,3621,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NA02950"
"Streptomyces sp. NA03103",4,844,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NA03103"
"Streptomyces sp. NA04227",6,3173,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NA04227"
"Streptomyces sp. NBU3104",2,429,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NBU3104"
"Streptomyces sp. NEAU-S7GS2",6,1601,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NEAU-S7GS2"
"Streptomyces sp. NEAU-sy36",6,2934,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NEAU-sy36"
"Streptomyces sp. NHF165",6,3773,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. NHF165"
"Streptomyces sp. P3",6,8852,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. P3"
"Streptomyces sp. PAMC 26508",5,2829,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. PAMC 26508"
"Streptomyces sp. PBH53",6,1429,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. PBH53"
"Streptomyces sp. QHH-9511",6,2978,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. QHH-9511"
"Streptomyces sp. R527F",5,1453,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. R527F"
"Streptomyces sp. Rer75",6,3989,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Rer75"
"Streptomyces sp. RLB1-33",6,13700,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. RLB1-33"
"Streptomyces sp. RLB1-9",1,824,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. RLB1-9"
"Streptomyces sp. RLB3-17",4,5064,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. RLB3-17"
"Streptomyces sp. RLB3-6",4,7189,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. RLB3-6"
"Streptomyces sp. RPA4-2",6,8975,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. RPA4-2"
"Streptomyces sp. RPA4-5",6,3795,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. RPA4-5"
"Streptomyces sp. RTd22",6,4056,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. RTd22"
"Streptomyces sp. S063",6,1344,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S063"
"Streptomyces sp. S1A1-7",6,7508,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S1A1-7"
"Streptomyces sp. S1D4-14",2,3587,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S1D4-14"
"Streptomyces sp. S1D4-20",1,302,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S1D4-20"
"Streptomyces sp. S1D4-23",3,9179,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S1D4-23"
"Streptomyces sp. S4.7",6,2571,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S4.7"
"Streptomyces sp. S501",6,2710,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S501"
"Streptomyces sp. S8",6,1537,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. S8"
"Streptomyces sp. SAT1",6,3493,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SAT1"
"Streptomyces sp. SCSIO 3032",6,1627,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SCSIO 3032"
"Streptomyces sp. SCSIO 64649",6,1728,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SCSIO 64649"
"Streptomyces sp. SCUT-3",6,4774,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SCUT-3"
"Streptomyces sp. SGAir0924",6,1595,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SGAir0924"
"Streptomyces sp. Sge12",6,2646,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Sge12"
"Streptomyces sp. SirexAA-E",6,3009,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SirexAA-E"
"Streptomyces sp. SM18",6,2739,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SM18"
"Streptomyces sp. SN-593",6,8013,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SN-593"
"Streptomyces sp. So13.3",6,11853,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. So13.3"
"Streptomyces sp. SS52",4,934,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SS52"
"Streptomyces sp. ST1015",6,3848,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. ST1015"
"Streptomyces sp. SUK 48",6,1918,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SUK 48"
"Streptomyces sp. SYP-A7193",6,2235,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. SYP-A7193"
"Streptomyces sp. TN58",6,2649,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. TN58"
"Streptomyces sp. Tu 2975",6,2779,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Tu 2975"
"Streptomyces sp. Tu6071",6,1277,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Tu6071"
"Streptomyces sp. Tue 6075",6,1287,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Tue 6075"
"Streptomyces sp. V17-9",5,1257,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. V17-9"
"Streptomyces sp. VN1",5,1544,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. VN1"
"Streptomyces sp. W1SF4",6,3671,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. W1SF4"
"Streptomyces sp. WA1-19",4,1111,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. WA1-19"
"Streptomyces sp. WA6-1-16",6,1473,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. WA6-1-16"
"Streptomyces sp. WAC 01438",6,3192,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. WAC 01438"
"Streptomyces sp. WAC 01529",6,2189,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. WAC 01529"
"Streptomyces sp. WAC 06738",6,1995,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. WAC 06738"
"Streptomyces sp. WAC00288",4,894,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. WAC00288"
"Streptomyces sp. WY228",6,1875,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. WY228"
"Streptomyces sp. XC 2026",6,1187,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. XC 2026"
"Streptomyces sp. YIM 121038",6,3008,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. YIM 121038"
"Streptomyces sp. YPW6",6,1753,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. YPW6"
"Streptomyces sp. Z423-1",6,3689,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. Z423-1"
"Streptomyces sp. ZYC-3",6,12778,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","sp. ZYC-3"
"Streptomyces spectabilis",6,4046,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","spectabilis"
"Streptomyces spongiicola",6,2260,"Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","spongiicola"
